carrier,flight_number,from city,gate,status,scheduled_time,updated_time
American Airlines,3401,Moline| IL,Term T3 - G20,Delayed,2020-07-23 07:34:00,2020-07-23 11:05:00
Air New Zealand,2424,Greenville| SC,Term 1 - B6,Arrived,2020-07-23 08:10:00,2020-07-23 09:28:00
United Airlines,5638,Greenville| SC,Term 1 - B6,Arrived,2020-07-23 08:10:00,2020-07-23 09:28:00
All Nippon Airways,7729,Greenville| SC,Term 1 - B6,Arrived,2020-07-23 08:10:00,2020-07-23 09:28:00
Cape Air,1146,Quincy| IL,Term 3,Arrived,2020-07-23 08:38:00,2020-07-23 08:52:00
American Airlines,3439,Portland| ME,Term T3 - L10B,Arrived,2020-07-23 08:41:00,2020-07-23 08:46:00
American Airlines,3203,Traverse City| MI,Term T3 - G19,Arrived,2020-07-23 08:45:00,2020-07-23 08:40:00
Qantas Airways,3263,Cincinnati| OH,Term T3 - G21,Arrived,2020-07-23 08:47:00,2020-07-23 08:39:00
WestJet Airlines,7913,New York| NY,Term 2 - E14,Arrived,2020-07-23 08:47:00,2020-07-23 08:45:00
Qatar Airways,2403,Austin| TX,Term T3 - H9,Arrived,2020-07-23 08:51:00,2020-07-23 08:44:00
British Airways,5090,Austin| TX,Term T3 - H9,Arrived,2020-07-23 08:51:00,2020-07-23 08:44:00
Qatar Airways,2435,Indianapolis| IN,Term T3 - L8,Arrived,2020-07-23 08:53:00,2020-07-23 08:44:00
Qantas Airways,4457,Indianapolis| IN,Term T3 - L8,Arrived,2020-07-23 08:53:00,2020-07-23 08:44:00
Qatar Airways,2797,Tampa| FL,Term T3 - H11A,Arrived,2020-07-23 08:55:00,2020-07-23 08:35:00
Qantas Airways,4694,Tampa| FL,Term T3 - H11A,Arrived,2020-07-23 08:55:00,2020-07-23 08:35:00
American Airlines,2911,New York| NY,Term T3 - K19,Arrived,2020-07-23 08:57:00,2020-07-23 08:51:00
British Airways,6855,New York| NY,Term T3 - K19,Arrived,2020-07-23 08:57:00,2020-07-23 08:51:00
American Airlines,1509,Boston| MA,Term T3 - K4,Arrived,2020-07-23 09:01:00,2020-07-23 08:43:00
Qantas Airways,4882,Detroit| MI,Term T3 - G11,Arrived,2020-07-23 09:03:00,2020-07-23 08:43:00
Alaska Airlines,4152,Grand Rapids| MI,Term T3 - L23,Arrived,2020-07-23 09:04:00,2020-07-23 08:47:00
Qantas Airways,3270,Toronto,Term T3 - L20,Landed,2020-07-23 09:07:00,2020-07-23 09:25:00
Alaska Airlines,4017,Toronto,Term T3 - L20,Landed,2020-07-23 09:07:00,2020-07-23 09:25:00
Alaska Airlines,4575,Atlanta| GA,Term T3 - H4,Arrived,2020-07-23 09:09:00,2020-07-23 09:01:00
British Airways,5650,Springfield| MO,Term T3 - G8,Arrived,2020-07-23 09:09:00,2020-07-23 08:48:00
British Airways,1905,Wilkes-Barre/Scranton| PA,Term T3 - L1B,Arrived,2020-07-23 09:11:00,2020-07-23 08:56:00
American Airlines,3442,Champaign/Urbana| IL,Term T3 - G14A,Arrived,2020-07-23 09:12:00,2020-07-23 09:07:00
American Airlines,3436,Greensboro| NC,Term T3 - G10,Arrived,2020-07-23 09:14:00,2020-07-23 08:49:00
Alaska Airlines,6050,Louisville| KY,Term T3 - L22,Arrived,2020-07-23 09:15:00,2020-07-23 08:55:00
Alaska Airlines,4342,San Antonio| TX,Term T3 - L3,Landed,2020-07-23 09:20:00,2020-07-23 08:58:00
